Date;NoCorpBankcrupties
2003-01;1892
2003-02;1790
2003-03;1977
2003-04;2140
2003-05;1937
2003-06;1875
2003-07;2050
2003-08;1789
2003-09;1986
2003-10;2038
2003-11;1696
2003-12;1890
2004-01;1767
2004-02;1799
2004-03;2240
2004-04;2119
2004-05;1882
2004-06;2116
2004-07;2171
2004-08;1897
2004-09;1996
2004-10;1913
2004-11;1968
2004-12;2029
2005-01;1749
2005-02;1817
2005-03;2090
2005-04;2166
2005-05;1957
2005-06;2210
2005-07;1958
2005-08;1970
2005-09;1869
2005-10;1798
2005-11;1768
2005-12;1895
2006-01;1857
2006-02;1967
2006-03;2329
2006-04;1887
2006-05;2077
2006-06;1900
2006-07;1835
2006-08;1884
2006-09;1937
2006-10;1835
2006-11;1871
2006-12;1914
2007-01;1537
2007-02;1591
2007-03;1810
2007-04;1539
2007-05;1707
2007-06;1666
2007-07;1654
2007-08;1685
2007-09;1485
2007-10;1900
2007-11;2055
2007-12;1862
2008-01;1742
2008-02;1712
2008-03;1715
2008-04;2058
2008-05;1717
2008-06;1767
2008-07;1981
2008-08;1679
2008-09;1765
2008-10;1801
2008-11;1714
2008-12;1708
2009-01;1781
2009-02;1790
2009-03;2117
2009-04;2287
2009-05;2011
2009-06;2069
2009-07;2281
2009-08;1890
2009-09;2191
2009-10;2108
2009-11;1880
2009-12;1910
2010-01;1774
2010-02;1903
2010-03;2323
2010-04;2120
2010-05;1996
2010-06;1991
2010-07;2067
2010-08;1940
2010-09;1936
2010-10;1778
2010-11;1833
2010-12;1870
2011-01;1697
2011-02;1797
2011-03;2115
2011-04;1962
2011-05;1939
2011-06;1902
2011-07;1838
2011-08;1911
2011-09;1915
2011-10;1696
2011-11;1760
2011-12;1861
2012-01;1676
2012-02;1801
2012-03;2143
2012-04;1945
2012-05;1760
2012-06;1798
2012-07;1914
2012-08;1798
2012-09;1507
2012-10;1779
2012-11;1731
2012-12;1459
2013-01;1571
2013-02;1561
2013-03;1805
2013-04;1759
2013-05;1691
2013-06;1598
2013-07;1855
2013-08;1660
2013-09;1494
2013-10;1637
2013-11;1519
2013-12;1338
2014-01;1512
2014-02;1491
2014-03;1508
2014-04;1617
2014-05;1434
2014-06;1321
2014-07;1581
2014-08;1463
2014-09;1575
2014-10;1591
2014-11;1344
2014-12;1440
2015-01;1246
2015-02;1364
2015-03;1532
2015-04;1513
2015-05;1267
2015-06;1479
2015-07;1628
2015-08;1297
2015-09;1388
2015-10;1500
2015-11;1342
2015-12;1405
2016-01;1260
2016-02;1305
2016-03;1416
2016-04;1419
2016-05;1287
2016-06;1427
2016-07;1325
2016-08;1297
2016-09;1404
2016-10;1203
2016-11;1186
2016-12;1285
2017-01;1148
2017-02;1158
2017-03;1390
2017-04;1137
2017-05;1258
2017-06;1222
2017-07;1135
2017-08;1205
2017-09;1170
2017-10;1184
2017-11;1247
2017-12;1143
2018-01;1107
2018-02;1167
2018-03;1299
2018-04;1223
2018-05;1182
2018-06;1167
2018-07;1170
2018-08;1182
2018-09;1100
2018-10;1239
2018-11;1077
2018-12;994
2019-01;1192
2019-02;1145
2019-03;1129
2019-04;1229
2019-05;1240
2019-06;1005
2019-07;1207
2019-08;1166
2019-09;1054
2019-10;1165
2019-11;1023
2019-12;1054
2020-01;1175
2020-02;1120
2020-03;1105
2020-04;1040
2020-05;1058
2020-06;933
2020-07;931
2020-08;665
2020-09;731
2020-10;716
2020-11;714
